Census,School Name,Category,Year Level,Students
02 August 2019,Ainslie School,Gov,Preschool,42
02 August 2019,Ainslie School,Gov,Kindergarten,59
02 August 2019,Ainslie School,Gov,Year 1,59
02 August 2019,Ainslie School,Gov,Year 2,53
02 August 2019,Ainslie School,Gov,Year 3,45
02 August 2019,Ainslie School,Gov,Year 4,45
02 August 2019,Ainslie School,Gov,Year 5,41
02 August 2019,Ainslie School,Gov,Year 6,62
02 August 2019,Alfred Deakin High School,Gov,Year 7,200
02 August 2019,Alfred Deakin High School,Gov,Year 8,213
02 August 2019,Alfred Deakin High School,Gov,Year 9,233
02 August 2019,Alfred Deakin High School,Gov,Year 10,220
02 August 2019,Amaroo School,Gov,Preschool,111
02 August 2019,Amaroo School,Gov,Kindergarten,148
02 August 2019,Amaroo School,Gov,Year 1,156
02 August 2019,Amaroo School,Gov,Year 2,150
02 August 2019,Amaroo School,Gov,Year 3,154
02 August 2019,Amaroo School,Gov,Year 4,148
02 August 2019,Amaroo School,Gov,Year 5,139
02 August 2019,Amaroo School,Gov,Year 6,158
02 August 2019,Amaroo School,Gov,Year 7,222
02 August 2019,Amaroo School,Gov,Year 8,187
02 August 2019,Amaroo School,Gov,Year 9,197
02 August 2019,Amaroo School,Gov,Year 10,194
02 August 2019,Aranda Primary School,Gov,Preschool,66
02 August 2019,Aranda Primary School,Gov,Kindergarten,68
02 August 2019,Aranda Primary School,Gov,Year 1,67
02 August 2019,Aranda Primary School,Gov,Year 2,83
02 August 2019,Aranda Primary School,Gov,Year 3,84
02 August 2019,Aranda Primary School,Gov,Year 4,90
02 August 2019,Aranda Primary School,Gov,Year 5,83
02 August 2019,Aranda Primary School,Gov,Year 6,67
02 August 2019,Arawang Primary School,Gov,Preschool,65
02 August 2019,Arawang Primary School,Gov,Kindergarten,55
02 August 2019,Arawang Primary School,Gov,Year 1,79
02 August 2019,Arawang Primary School,Gov,Year 2,66
02 August 2019,Arawang Primary School,Gov,Year 3,66
02 August 2019,Arawang Primary School,Gov,Year 4,71
02 August 2019,Arawang Primary School,Gov,Year 5,69
02 August 2019,Arawang Primary School,Gov,Year 6,63
02 August 2019,Belconnen High School,Gov,Year 7,128
02 August 2019,Belconnen High School,Gov,Year 8,131
02 August 2019,Belconnen High School,Gov,Year 9,121
02 August 2019,Belconnen High School,Gov,Year 10,92
02 August 2019,Black Mountain School,Gov,Year 7,22
02 August 2019,Black Mountain School,Gov,Year 8,24
02 August 2019,Black Mountain School,Gov,Year 9,18
02 August 2019,Black Mountain School,Gov,Year 10,16
02 August 2019,Black Mountain School,Gov,Year 11,13
02 August 2019,Black Mountain School,Gov,Year 12,19
02 August 2019,Bonython Primary School,Gov,Preschool,43
02 August 2019,Bonython Primary School,Gov,Kindergarten,49
02 August 2019,Bonython Primary School,Gov,Year 1,64
02 August 2019,Bonython Primary School,Gov,Year 2,39
02 August 2019,Bonython Primary School,Gov,Year 3,61
02 August 2019,Bonython Primary School,Gov,Year 4,57
02 August 2019,Bonython Primary School,Gov,Year 5,41
